Year,Month,Day,Month #,Day #,Raw Biogas Produced (m3),BioCNG Produced （m3),BioCNG Sold (m3),Vehicle use (m3),Liquid Fertilizer Produced (t),Solid fertilizer produced (t),Wastewater flow to WWTP (unit?),Solid residues (kg),Pig Manure (t),Cassava (t),Fish waste water (t),Kitchen food waste (t),Municipal fecal residue (t),Tea waste (t),Chicken litter (t),Bagasse feed (t),Alcohol waste (t),Chinese medicine waste (t),Energy grass (t),Banana fruit shafts (t),Lemon waste (t),Percolate (t),Other waste (t),50% NaOH/kg,FeCl2/kg,PAM/kg,Defoamer/kg,Project electricity use/kWh,Office space electricity use/kWh,Water/m3,Diesel/L,
2014,May,1,1,1,0,2024,3658,,0,0,,,6.82,0,0,0,0,0,0,15,0,0,0,0,0,0,26.44,0,0,0,0,2409,1296,0,0,
2014,May,2,1,2,0,2909,4348,,0,0,,,0,0,0,0,0,0,0,15,0,0,0,0,0,0,28.92,0,0,0,0,2612,1302,0,130,
2014,May,3,1,3,0,3020,0,,0,0,,,6.66,0,0,0,0,0,0,15,0,0,0,0,0,0,26.9,0,0,0,0,2824,1291,0,0,
2014,May,4,1,4,0,3042,0,,0,0,,,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2034,1252,0,20,
2014,May,5,1,5,0,2779,7584,,0,0,,,9.54,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2368,1244,0,0,
2014,May,6,1,6,0,2686,2698,,0,0,,,2.98,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2113,1231,0,0,
2014,May,7,1,7,0,2112,0,,0,0,,,6.04,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2222,1510,0,280,
2014,May,8,1,8,0,1529,0,,0,0,,,15.36,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2478,1657,0,0,
2014,May,9,1,9,0,2085,0,,0,0,,,6.3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2188,1670,0,40,
2014,May,10,1,10,0,1902,3925,,0,0,,,7,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2018,1314,0,60,
2014,May,11,1,11,0,1971,3748,,0,0,,,3.85,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,2226,1555,0,0,
2014,May,12,1,12,0,2404,0,,0,0,,,7.52,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2108,1553,0,0,
2014,May,13,1,13,0,1610,2837,,0,0,,,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0,0,2438,1740,0,0,
2014,May,14,1,14,0,0,0,,0,0,,,6.22,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1371,0,20,
2014,May,15,1,15,0,906,0,,0,0,,,6.72,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0,0,1570,1236,0,50,
2014,May,16,1,16,0,2518,4295,,0,0,,,7.02,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3003,1231,0,60,
2014,May,17,1,17,0,1551,0,,0,0,,,5.68,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2265,1251,0,190,
2014,May,18,1,18,0,1724,3830,,0,0,,,6.16,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2505,1310,0,0,
2014,May,19,1,19,0,2160,0,,0,0,,,6.4,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2899,1214,0,0,
2014,May,20,1,20,0,2621,3464.02,,0,0,,,7.18,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3376,1096,0,100,
2014,May,21,1,21,0,1946,0,,0,0,,,8.58,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,2799,1202,0,0,
2014,May,22,1,22,0,2179,3617,,0,0,,,6.16,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,2959,1346,0,40,
2014,May,23,1,23,0,2129,0,,0,0,,,5.52,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,3075,1282,0,0,
2014,May,24,1,24,0,2108,4344,,0,0,,,5.26,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,2356,1247,0,60,
2014,May,25,1,25,0,2429,0,,0,0,,,9.52,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,3001,1372,0,0,
2014,May,26,1,26,0,3058,0,,0,0,,,6.62,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,3159,1174,0,180,
2014,May,27,1,27,0,2466,3631,,0,0,,,6.28,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2752,1269,0,0,
2014,May,28,1,28,0,2655,0,,0,0,,,0,0,0,0,0,0,0,19.25,0,0,0,0,0,0,0,0,0,0,0,2100,667,0,0,
2014,May,29,1,29,0,2953,0,,0,0,,,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,3455,1372,0,40,
2014,May,30,1,30,0,2499,0,,0,0,,,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,2670,1436,0,0,
2014,May,31,1,31,0,1789,4657,,0,0,,,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2733,1288,0,100,
2014,June,1,2,32,0,1985,0,,0,0,,,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2215,1279,0,50,
2014,June,2,2,33,0,992,0,,0,0,,,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,1931,1323,0,30,
