,Kitchen_waste_,Fruit_and_vegetable_waste_,Bread_Paste_,Waste_oil_,Total_Waste_,Diesel_waste_water_,Flour_and_waste_oil_,Kitchen_waste_paste_,1_acidification_hydrolysis_tank_feed_,1_acidification_hydrolysis_tank_discharge_,2_acidification_hydrolysis_tank_feed_,2_acidification_hydrolysis_tank_discharge_,1_Anaerobic_tank_slurry_feed_,1_Anaerobic_tank_biogas_cumulative_production_,1_anaerobic_tank_biogas_daily_output_,2_Anaerobic_tank_slurry_feed_,2_anaerobic_tank_biogas_cumulative_production_,2_anaerobic_tank_biogas_daily_output_,acid_feed,acid_discharge,anaerobic_feed,anaerobic_cumuprod,anaerobic_dailyoutput
0,92.03,0.0,7.95,13.54,99.98,54.0,17.0,167.0,0.0,0.0,0.0,0.0,50.0,107936.0,3288.0,80.0,232517.0,4631.0,0.0,0.0,130.0,340453.0,7919.0
1,78.43,0.0,13.3,16.1,91.73,36.0,8.0,100.0,0.0,0.0,0.0,0.0,100.0,109944.0,2008.0,70.0,233210.0,693.0,0.0,0.0,170.0,343154.0,2701.0
2,81.84,0.0,8.35,6.6,90.19,22.0,34.0,120.0,0.0,0.0,0.0,0.0,90.0,115567.0,5623.0,60.0,237794.0,4584.0,0.0,0.0,150.0,353361.0,10207.0
3,81.05,0.0,9.1,17.48,90.15,22.0,20.0,92.0,0.0,0.0,0.0,0.0,60.0,121046.0,5479.0,100.0,242897.0,5103.0,0.0,0.0,160.0,363943.0,10582.0
4,36.86,0.0,9.4,12.47,46.26,44.0,35.0,122.0,0.0,0.0,0.0,0.0,80.0,125451.0,4405.0,80.0,247520.0,4623.0,0.0,0.0,160.0,372971.0,9028.0
5,21.58,0.0,16.2,11.85,37.78,22.0,21.0,0.0,0.0,0.0,0.0,0.0,80.0,129944.0,4493.0,80.0,255145.0,4625.0,0.0,0.0,160.0,385089.0,9118.0
6,89.98,0.0,9.1,12.14,99.08,30.0,48.0,96.0,0.0,0.0,0.0,0.0,80.0,134947.0,5003.0,80.0,257218.0,5073.0,0.0,0.0,160.0,392165.0,10076.0
7,80.46,9.8,16.9,13.92,107.16,29.0,31.0,148.0,0.0,0.0,0.0,0.0,90.0,140067.0,4936.0,80.0,262218.0,5000.0,0.0,0.0,170.0,402285.0,9936.0
8,77.2,10.4,5.6,10.69,93.2,22.0,12.0,114.0,0.0,0.0,0.0,0.0,80.0,145003.0,4936.0,80.0,267198.0,4980.0,0.0,0.0,160.0,412201.0,9916.0
9,78.37,9.34,8.3,9.79,96.01,25.0,40.0,140.0,0.0,0.0,0.0,0.0,100.0,147737.0,2734.0,100.0,271611.0,4413.0,0.0,0.0,200.0,419348.0,7147.0
10,74.03,8.95,7.99,10.08,90.97,22.0,22.0,153.0,0.0,0.0,0.0,0.0,80.0,152450.0,4713.0,60.0,274000.0,2589.0,0.0,0.0,140.0,426450.0,7302.0
11,38.38,6.09,17.0,15.62,61.47,44.0,24.0,101.0,0.0,0.0,0.0,0.0,60.0,154892.0,2442.0,60.0,276191.0,2191.0,0.0,0.0,120.0,431083.0,4633.0
12,16.51,0.0,8.0,13.94,24.51,30.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,158858.0,3966.0,80.0,280646.0,4455.0,0.0,0.0,140.0,439504.0,8421.0
13,71.68,2.78,17.56,15.41,92.02,30.0,37.0,85.0,0.0,0.0,0.0,0.0,100.0,162312.0,3454.0,70.0,285019.0,4373.0,0.0,0.0,170.0,447331.0,7827.0
14,79.16,10.56,17.32,0.0,107.04,49.0,31.0,122.0,171.0,40.0,31.0,90.0,65.0,165884.0,3572.0,65.0,289177.0,4158.0,202.0,130.0,130.0,455061.0,7730.0
15,79.25,6.67,15.28,2.16,101.2,0.0,37.0,98.0,120.0,0.0,15.0,200.0,100.0,170603.0,4719.0,100.0,293753.0,4576.0,135.0,200.0,200.0,464356.0,9295.0
16,76.88,7.68,8.3,4.75,92.86,0.0,15.0,80.0,0.0,155.0,91.0,0.0,70.0,174072.0,3469.0,85.0,298908.0,5155.0,91.0,155.0,155.0,472980.0,8624.0
17,78.4,6.7,8.11,22.47,93.21,30.0,20.0,126.0,20.0,80.0,30.0,80.0,90.0,177892.0,3820.0,70.0,303534.0,4626.0,50.0,160.0,160.0,481426.0,8446.0
18,52.88,9.1,0.0,15.24,61.98,0.0,9.0,86.0,95.0,0.0,0.0,150.0,90.0,182504.0,4612.0,60.0,307706.0,4172.0,95.0,150.0,150.0,490210.0,8784.0
19,19.79,7.94,0.0,2.6,27.73,0.0,9.0,0.0,9.0,0.0,0.0,150.0,90.0,186349.0,3845.0,60.0,311610.0,3904.0,9.0,150.0,150.0,497959.0,7749.0
20,77.68,7.64,15.19,8.6,100.51,32.0,22.0,90.0,11.0,100.0,43.0,20.0,60.0,189358.0,3009.0,60.0,315844.0,4234.0,54.0,120.0,120.0,505202.0,7243.0
21,76.07,7.61,15.09,13.57,98.77,0.0,23.0,117.0,140.0,20.0,0.0,60.0,40.0,192625.0,3267.0,40.0,319518.0,3674.0,140.0,80.0,80.0,512143.0,6941.0
22,84.22,7.6,8.78,16.79,100.6,0.0,22.0,93.0,93.0,40.0,22.0,90.0,60.0,195721.0,3096.0,70.0,322978.0,3460.0,115.0,130.0,130.0,518699.0,6556.0
23,90.41,7.48,15.06,9.58,112.95,0.0,22.0,88.0,0.0,130.0,110.0,0.0,65.0,199005.0,3284.0,65.0,327110.0,4132.0,110.0,130.0,130.0,526115.0,7416.0
24,74.94,8.34,15.25,11.26,98.53,0.0,22.0,88.0,22.0,60.0,88.0,60.0,60.0,203178.0,4173.0,60.0,331879.0,4769.0,110.0,120.0,120.0,535057.0,8942.0
25,59.57,7.88,16.53,12.16,83.98,31.67,18.51,98.0,50.0,40.0,98.0,60.0,60.0,207068.0,3890.0,40.0,335712.0,3833.0,148.0,100.0,100.0,542780.0,7723.0
26,14.31,0.0,15.56,12.82,29.87,22.0,45.64,0.0,0.0,40.0,67.64,130.0,70.0,210528.0,3460.0,100.0,341692.0,5980.0,67.64,170.0,170.0,552220.0,9440.0
27,84.4,7.68,8.52,0.0,100.6,46.22,38.36,83.0,0.0,40.0,167.58,120.0,70.0,215137.0,4609.0,90.0,345931.0,4239.0,167.58,160.0,160.0,561068.0,8848.0
28,86.34,6.83,8.38,0.0,101.55,12.0,0.0,85.0,0.0,0.0,97.0,110.0,60.0,218748.0,3611.0,50.0,349531.0,3600.0,97.0,110.0,110.0,568279.0,7211.0
29,82.37,5.19,13.96,0.0,101.52,22.0,14.0,85.0,0.0,0.0,121.0,100.0,50.0,224267.0,5519.0,50.0,354984.0,5453.0,121.0,100.0,100.0,579251.0,10972.0
30,86.73,5.52,0.0,0.0,92.25,0.0,24.53,103.0,0.0,30.0,127.53,80.0,55.0,228599.0,4332.0,55.0,360071.0,5087.0,127.53,110.0,110.0,588670.0,9419.0
31,33.23,0.0,15.2,9.95,48.43,22.0,45.0,50.0,0.0,15.0,117.0,85.0,60.0,231946.0,3347.0,40.0,364674.0,4603.0,117.0,100.0,100.0,596620.0,7950.0
32,17.98,0.0,0.0,16.47,17.98,22.0,0.0,0.0,0.0,0.0,22.0,60.0,30.0,235357.0,3411.0,30.0,368055.0,3381.0,22.0,60.0,60.0,603412.0,6792.0
33,29.28,0.0,15.9,11.53,45.18,0.0,39.0,0.0,0.0,0.0,39.0,60.0,30.0,237510.0,2153.0,30.0,371671.0,3616.0,39.0,60.0,60.0,609181.0,5769.0
34,91.75,11.45,16.1,13.73,119.3,22.0,7.0,80.0,0.0,0.0,109.0,110.0,50.0,240128.0,2618.0,60.0,374909.0,3238.0,109.0,110.0,110.0,615037.0,5856.0
35,86.37,13.46,25.95,10.48,125.78,22.0,66.0,106.0,22.0,0.0,172.0,90.0,50.0,244018.0,3890.0,40.0,379272.0,4363.0,194.0,90.0,90.0,623290.0,8253.0
36,87.59,13.63,15.83,11.26,117.05,18.51,27.65,86.0,27.65,0.0,104.51,75.0,35.0,247364.0,3346.0,40.0,383672.0,4400.0,132.16,75.0,75.0,631036.0,7746.0
37,92.7,14.26,15.28,12.67,122.24,46.3,22.3,92.0,138.3,0.0,22.3,72.0,42.0,251267.0,3903.0,30.0,387173.0,3501.0,160.60000000000002,72.0,72.0,638440.0,7404.0
38,72.28,0.0,16.79,12.82,89.07,44.3,33.0,82.0,115.0,46.0,44.3,30.0,38.0,255509.0,4242.0,38.0,390815.0,3642.0,159.3,76.0,76.0,646324.0,7884.0
39,41.26,0.0,16.09,14.4,57.35,0.0,33.0,80.0,0.0,56.0,113.0,0.0,28.0,258785.0,3276.0,28.0,395635.0,4820.0,113.0,56.0,56.0,654420.0,8096.0
40,18.78,0.0,15.88,16.41,34.66,24.0,31.0,0.0,0.0,70.0,55.0,0.0,35.0,261598.0,2813.0,35.0,398666.0,3031.0,55.0,70.0,70.0,660264.0,5844.0
41,93.48,7.94,11.42,15.96,112.84,22.0,12.0,52.0,0.0,92.0,86.0,0.0,45.0,264434.0,2836.0,47.0,402197.0,3531.0,86.0,92.0,92.0,666631.0,6367.0
42,73.52,11.33,16.69,16.53,101.54,0.0,11.15,85.0,96.15,0.0,0.0,99.0,52.0,267793.0,3359.0,47.0,405929.0,3732.0,96.15,99.0,99.0,673722.0,7091.0
43,56.11,11.45,26.63,7.33,94.19,0.0,52.33,71.0,123.33,0.0,0.0,86.0,45.0,270059.0,2266.0,41.0,408875.0,2946.0,123.33,86.0,86.0,678934.0,5212.0
44,89.91,6.87,16.69,2.88,113.47,0.0,44.0,78.0,0.0,90.0,122.0,0.0,45.0,272726.0,2667.0,45.0,411837.0,2962.0,122.0,90.0,90.0,684563.0,5629.0
45,85.35,7.84,0.0,14.1,93.19,0.0,22.0,80.0,0.0,115.0,102.0,0.0,55.0,276568.0,3842.0,60.0,415037.0,3200.0,102.0,115.0,115.0,691605.0,7042.0
46,30.44,21.83,9.48,11.32,61.75,0.0,22.0,104.0,0.0,62.0,126.0,0.0,31.0,280989.0,4421.0,31.0,417739.0,2702.0,126.0,62.0,62.0,698728.0,7123.0
47,6.61,0.0,10.04,16.15,16.65,22.0,38.0,0.0,11.0,56.0,49.0,5.0,30.0,283786.0,2797.0,31.0,420286.0,2547.0,60.0,61.0,61.0,704072.0,5344.0
48,70.56,10.3,14.04,12.31,94.9,0.0,0.0,76.0,76.0,0.0,0.0,96.0,46.0,287143.0,3357.0,50.0,423320.0,3034.0,76.0,96.0,96.0,710463.0,6391.0
49,83.81,0.0,24.98,10.53,108.79,0.0,50.34,100.0,150.34,87.0,0.0,64.0,73.0,290603.0,3460.0,78.0,427243.0,3923.0,150.34,151.0,151.0,717846.0,7383.0
50,81.3,0.0,0.0,0.0,81.3,0.0,47.87,76.0,0.0,88.0,123.87,0.0,48.0,293654.0,3051.0,40.0,430517.0,3274.0,123.87,88.0,88.0,724171.0,6325.0
51,0.0,0.0,0.0,0.0,0.0,0.0,25.61,70.0,0.0,65.0,95.65,0.0,30.0,296101.0,2447.0,35.0,433213.0,2696.0,95.65,65.0,65.0,729314.0,5143.0
52,0.0,0.0,0.0,0.0,0.0,0.0,18.0,69.0,0.0,89.0,87.0,0.0,42.0,298807.0,2706.0,47.0,436011.0,2798.0,87.0,89.0,89.0,734818.0,5504.0
53,0.0,0.0,0.0,0.0,0.0,0.0,36.0,50.0,0.0,53.0,86.0,0.0,30.0,300655.0,1848.0,23.0,437589.0,1578.0,86.0,53.0,53.0,738244.0,3426.0
54,0.0,0.0,0.0,0.0,0.0,0.0,8.03,0.0,0.0,25.0,8.03,42.0,36.0,302430.0,1775.0,31.0,439369.0,1780.0,8.03,67.0,67.0,741799.0,3555.0
55,79.99,0.0,26.23,11.73,106.22,0.0,74.13,99.0,173.13,0.0,0.0,42.0,21.0,303754.0,1324.0,21.0,441209.0,1840.0,173.13,42.0,42.0,744963.0,3164.0
56,76.67,11.08,26.57,10.84,114.32,0.0,44.0,56.0,100.0,5.0,0.0,54.0,32.0,305615.0,1861.0,27.0,442948.0,1739.0,100.0,59.0,59.0,748563.0,3600.0
57,81.08,0.0,15.37,8.96,96.45,0.0,10.0,61.0,0.0,50.0,71.0,0.0,25.0,307343.0,1728.0,25.0,444746.0,1798.0,71.0,50.0,50.0,752089.0,3526.0
