Year,Month,Day,Month #,Day #,Week#,Kitchen waste (t),Fruit and vegetable waste (t),Bread Paste (t),Waste oil (t),Total Waste (t),Daily landfilled amount (t),Diesel waste water (m³),Flour and waste oil (m³),Kitchen waste paste (m³),Daily water consumption (m³),Daily electricity consumption (kWh),Insect medium with pulp (m³),#1 acidification hydrolysis tank feed (m³),#1 acidification hydrolysis tank discharge (m³),#2 acidification hydrolysis tank feed (m³),#2 acidification hydrolysis tank discharge (m³),#1 Anaerobic tank slurry feed (m³),#1 Anaerobic tank biogas cumulative production (m³),#1 anaerobic tank biogas daily output (m³),#2 Anaerobic tank slurry feed (m³),#2 anaerobic tank biogas cumulative production (m³),#2 anaerobic tank biogas daily output (m³),Daily water consumption (m³)2,Daily electricity consumption (kWh)2,Boiler cumulative gas consumption (m³),Boiler daily gas consumption (m³),Total Biogas Production,Torch burning time (min),Amount of flocculant (kg),Water treatment amount (m³),Digestate production (t) ,Daily electricity consumption (kWh)3,Water treatment capacity (m³)2,Emissions (m³),Dissolved Oxygen in Oxygen Pool (mg/L),#1 Contact Oxidation Cell Dissolved Oxygen (mg/L),#2 Contact Oxidation Cell Dissolved Oxygen (mg/L),#3 Contact Oxidation Cell Dissolved Oxygen (mg/L),Daily electricity consumption (kWh)4,Circulating liquid PH value,Maximum tower temperature (℃),Minimum tower temperature (℃),Air intake H2S content (PPM),Exhaust H2S content (PPM),Daily water consumption (m³)3,TotalElecCons,TotalWaterCons
2015,December,1,1,1,1,92.03,0,7.95,13.54,99.98,0,54,17,167,11.76,0,0,0,0,0,0,50,107936,3288,80,232517,4631,0,975,0,501,7919,0,16,206,6.34,721,85,146,0,0,0,0,0,0,,,,,,1696.203577,11.76
2015,December,2,1,2,1,78.43,0,13.3,16.1,91.73,0,36,8,100,9.92,0,0,0,0,0,0,100,109944,2008,70,233210,693,0,1043,0,559,2701,300,16,206,6.35,718,84,146,0,0,0,0,0,0,,,,,,1761.454597,9.92
2015,December,3,1,3,1,81.84,0,8.35,6.6,90.19,0,22,34,120,6.91,0,0,0,0,0,0,90,115567,5623,60,237794,4584,0,1093,0,633,10207,1140,16,206,6.39,720,86,146,0,0,0,0,0,0,,,,,,1812.982114,6.91
2015,December,4,1,4,1,81.05,0,9.1,17.48,90.15,0,22,20,92,7.63,0,0,0,0,0,0,60,121046,5479,100,242897,5103,0,939,0,390,10582,1240,17,207,6.43,723,88,146,0,0,0,0,0,0,,,,,,1661.635705,7.63
2015,December,5,1,5,1,36.86,0,9.4,12.47,46.26,0,44,35,122,7.9,0,0,0,0,0,0,80,125451,4405,80,247520,4623,0,1050,0,450,9028,1220,17,208,6.47,726,91,146,0,0,0,0,0,0,,,,,,1776.042619,7.9
2015,December,6,1,6,1,21.58,0,16.2,11.85,37.78,0,22,21,0,0,0,0,0,0,0,0,80,129944,4493,80,255145,4625,0,1066,0,533,9118,1253,17,212,6.53,738,97,145,0,0,0,0,0,0,,,,,,1803.684918,0
2015,December,7,1,7,1,89.98,0,9.1,12.14,99.08,0,30,48,96,8.72,0,0,0,0,0,0,80,134947,5003,80,257218,5073,0,911,0,617,10076,1410,17,211,6.55,733,96,145,0,0,0,0,0,0,,,,,,1644.025789,8.72
2015,December,8,1,8,2,80.46,9.8,16.9,13.92,107.16,0,29,31,148,9.85,0,0,0,0,0,0,90,140067,4936,80,262218,5000,0,906,0,409,9936,1340,17,212,6.59,736,99,145,0,0,0,0,0,0,,,,,,1642.099996,9.85
2015,December,9,1,9,2,77.2,10.4,5.6,10.69,93.2,0,22,12,114,8.95,0,0,0,0,0,0,80,145003,4936,80,267198,4980,0,1076,0,556,9916,1340,17,213,6.64,740,101,144,0,0,0,0,0,0,,,,,,1815.511611,8.95
2015,December,10,1,10,2,78.37,9.34,8.3,9.79,96.01,0,25,40,140,9.61,0,0,0,0,0,0,100,147737,2734,100,271611,4413,0,1098,0,651,7147,1240,17,215,6.67,746,105,144,0,0,0,0,0,0,,,,,,1843.732297,9.61
2015,December,11,1,11,2,74.03,8.95,7.99,10.08,90.97,0,22,22,153,11.93,0,0,0,0,0,0,80,152450,4713,60,274000,2589,0,968,0,428,7302,780,17,214,6.69,742,104,144,0,0,0,0,0,0,,,,,,1710.476699,11.93
2015,December,12,1,12,2,38.38,6.09,17,15.62,61.47,0,44,24,101,6.54,0,0,0,0,0,0,60,154892,2442,60,276191,2191,0,1001,0,553,4633,150,17,214,6.71,743,105,144,0,0,0,0,0,0,,,,,,1744.19432,6.54
2015,December,13,1,13,2,16.51,0,8,13.94,24.51,0,30,0,0,0,0,0,0,0,0,0,60,158858,3966,80,280646,4455,0,944,0,546,8421,130,17,216,6.75,748,108,143,0,0,0,0,0,0,,,,,,1691.519397,0
2015,December,14,1,14,2,71.68,2.78,17.56,15.41,92.02,0,30,37,85,5.4,0,0,0,0,0,0,100,162312,3454,70,285019,4373,0,992,0,621,7827,450,17,217,6.78,752,111,143,0,0,0,0,0,0,,,,,,1744.305075,5.4
2015,December,15,1,15,3,79.16,10.56,17.32,0,107.04,0,49,31,122,10.01,0,0,171,40,31,90,65,165884,3572,65,289177,4158,0,1083,0,520,7730,1120,17,218,6.82,756,114,143,0,0,0,0,0,0,,,,,,1839.28775,10.01
2015,December,16,1,16,3,79.25,6.67,15.28,2.16,101.2,0,0,37,98,10.04,0,810,120,0,15,200,100,170603,4719,100,293753,4576,0,1130,0,407,9295,1260,38,302,6.86,640,116,142,0,0,0,0,640,0,,,,,,2410,10.04
2015,December,17,1,17,3,76.88,7.68,8.3,4.75,92.86,0,0,15,80,12.59,0,1100,0,155,91,0,70,174072,3469,85,298908,5155,0,1080,0,494,8624,1290,21,216,6.90,1040,141,44,0,0,0,0,880,0,,,,,,3000,12.59
2015,December,18,1,18,3,78.4,6.7,8.11,22.47,93.21,0,30,20,126,12.59,0,780,20,80,30,80,90,177892,3820,70,303534,4626,0,1160,0,376,8446,130,18,286,6.94,1760,126,141,0,0,0,0,880,0,,,,,,3800,12.59
2015,December,19,1,19,3,52.88,9.1,0,15.24,61.98,0,0,9,86,7.61,9,840,95,0,0,150,90,182504,4612,60,307706,4172,1,1240,0,680,8784,150,37,360,6.97,1840,135,182,0,0,0,0,960,0,,,,,,4049,8.61
2015,December,20,1,20,3,19.79,7.94,0,2.6,27.73,0,0,9,0,0,0,0,9,0,0,150,90,186349,3845,60,311610,3904,0,1210,0,655,7749,780,36,314,7.01,1200,114,80,0,0,0,0,960,0,,,,,,3370,0
2015,December,21,1,21,3,77.68,7.64,15.19,8.6,100.51,0,32,22,90,8.09,25,890,11,100,43,20,60,189358,3009,60,315844,4234,7,1210,0,416,7243,880,27,265,7.04,640,54,96,0,0,0,0,960,0,,,,,,2835,15.09
2015,December,22,1,22,4,76.07,7.61,15.09,13.57,98.77,0,0,23,117,10.05,29,780,140,20,0,60,40,192625,3267,40,319518,3674,2,1080,0,559,6941,900,27,210,7.07,640,80,102,0,0,0,0,960,0,,,,,,2709,12.05
2015,December,23,1,23,4,84.22,7.6,8.78,16.79,100.6,0,0,22,93,10.37,32,1020,93,40,22,90,60,195721,3096,70,322978,3460,3,920,0,381,6556,1158,22,195,7.10,480,215,173,0,0,0,0,960,0,,,,,,2392,13.37
2015,December,24,1,24,4,90.41,7.48,15.06,9.58,112.95,0,0,22,88,9.91,29,780,0,130,110,0,65,199005,3284,65,327110,4132,6,1000,0,518,7416,10,35,270,7.14,1680,218,152,0,0,0,0,1120,0,,,,,,3829,15.91
2015,December,25,1,25,4,74.94,8.34,15.25,11.26,98.53,0,0,22,88,6.88,22,860,22,60,88,60,60,203178,4173,60,331879,4769,0,920,0,656,8942,424,21,234,7.18,1800,208,114,0,0,0,0,1120,0,,,,,,3862,6.88
2015,December,26,1,26,4,59.57,7.88,16.53,12.16,83.98,0,31.67,18.51,98,12.29,30,970,50,40,98,60,60,207068,3890,40,335712,3833,0,1000,0,453,7723,300,13,120,22.71,1400,213,120,0,0,0,0,1200,0,,,,,,3630,12.29
2015,December,27,1,27,4,14.31,0,15.56,12.82,29.87,0,22,45.64,0,0,0,0,0,40,67.64,130,70,210528,3460,100,341692,5980,0,920,0,416,9440,51,32,229,7.26,1600,224,114,0,0,0,0,960,0,,,,,,3480,0
2015,December,28,1,28,4,84.4,7.68,8.52,0,100.6,0,46.22,38.36,83,11.25,31,605,0,40,167.58,120,70,215137,4609,90,345931,4239,0,1000,0,451,8848,70,31,238,27.63,1760,176,110,0,0,0,0,960,0,,,,,,3751,11.25
2015,December,29,1,29,5,86.34,6.83,8.38,0,101.55,0,12,0,85,10.88,29,1020,0,0,97,110,60,218748,3611,50,349531,3600,0,920,0,592,7211,46,27,176,15.21,1760,143,119,0,0,0,0,1040,0,,,,,,3749,10.88
2015,December,30,1,30,5,82.37,5.19,13.96,0,101.52,0,22,14,85,10.44,27,730,0,0,121,100,50,224267,5519,50,354984,5453,0,890,0,518,10972,38,22,123,30.96,1680,0,0,0,0,0,0,960,0,,,,,,3557,10.44
2015,December,31,1,31,5,86.73,5.52,0,0,92.25,0,0,24.53,103,16.55,29,970,0,30,127.53,80,55,228599,4332,55,360071,5087,0,1000,0,670,9419,650,35,248,30.59,1280,177,82,0,0,0,0,1120,0,,,,,,3429,16.55
2016,January,1,2,32,5,33.23,0,15.2,9.95,48.43,5.49,22,45,50,29,680,0,0,15,117,85,60,231946,3347,40,364674,4603,0,680,0,665,7950,1137.4,19,239,7.45,826,40,306,0,720,199,91,1040,0,,,,,,3226.3856,29
2016,January,2,2,33,5,17.98,0,0,16.47,17.98,0,22,0,0,0,80,0,0,0,22,60,30,235357,3411,30,368055,3381,0,600,66264,460,6792,530,16,180,7.12,563,21,177,0,560,184,79,800,0,,,,,,2042.591918,0
2016,January,3,2,34,5,29.28,0,15.9,11.53,45.18,0,0,39,0,0,80,0,0,0,39,60,30,237510,2153,30,371671,3616,0,1000,66567,303,5769,1080,16,181,7.15,567,22,172,0,560,149,93,560,0,,,,,,2206.753828,0
2016,January,4,2,35,5,91.75,11.45,16.1,13.73,119.3,2.77,22,7,80,10,730,0,0,0,109,110,50,240128,2618,60,374909,3238,0,920,68655,2088,5856,189,16,180,7.17,562,27,177,0,800,160,108,560,0,,,,,,2771.825498,10
2016,January,5,2,36,6,86.37,13.46,25.95,10.48,125.78,18.96,22,66,106,31,1200,0,22,0,172,90,50,244018,3890,40,379272,4363,0,840,72115,3460,8253,169,16,178,7.18,552,30,212,0,1760,171,135,480,0,,,,,,3072.02465,31
2016,January,6,2,37,6,87.59,13.63,15.83,11.26,117.05,13.88,18.51,27.65,86,21,1020,0,27.65,0,104.51,75,35,247364,3346,40,383672,4400,0,790,75475,3360,7746,98,16,177,7.20,544,41,297,0,1760,191,102,480,0,,,,,,2833.644803,21
2016,January,7,2,38,6,92.7,14.26,15.28,12.67,122.24,12.83,46.3,22.3,92,22,860,0,138.3,0,22.3,72,42,251267,3903,30,387173,3501,0,790,78507,3032,7404,107,16,174,7.22,533,37,290,0,960,146,109,560,0,,,,,,2742.952327,22
2016,January,8,2,39,6,72.28,0,16.79,12.82,89.07,10.41,44.3,33,82,14,890,0,115,46,44.3,30,38,255509,4242,38,390815,3642,0,950,81575,3068,7884,116,16,172,7.23,522,30,268,64.56,530,197,110,480,0,,,,,,2841.858756,14
2016,January,9,2,40,6,41.26,0,16.09,14.4,57.35,0,0,33,80,9,550,0,0,56,113,0,28,258785,3276,28,395635,4820,0,1080,85032,3457,8096,39,16,171,7.25,514,38,276,0,530,190,81,480,0,,,,,,2624.464879,9
2016,January,10,2,41,6,18.78,0,15.88,16.41,34.66,0,24,31,0,0,0,0,0,70,55,0,35,261598,2813,35,398666,3031,0,950,85785,753,5844,840,16,171,7.27,514,32,296,0,540,179,159,560,0,,,,,,2023.731462,0
2016,January,11,2,42,6,93.48,7.94,11.42,15.96,112.84,11.95,22,12,52,8,860,0,0,92,86,0,45,264434,2836,47,402197,3531,0,870,86268,483,6367,968,16,171,7.30,516,26,281,0,540,154,171,640,0,,,,,,2885.622023,8
2016,January,12,2,43,7,73.52,11.33,16.69,16.53,101.54,10.37,0,11.15,85,9,940,0,96.15,0,0,99,52,267793,3359,47,405929,3732,0,900,86963,695,7091,885,16,172,7.33,516,34,290,0,520,52,0,640,0,,,,,,2996.164913,9
2016,January,13,2,44,7,56.11,11.45,26.63,7.33,94.19,15.76,0,52.33,71,7,1020,0,123.33,0,0,86,45,270059,2266,41,408875,2946,0,870,87379,416,5212,943,16,172,7.35,518,23,234,19.52,430,143,6,560,0,,,,,,2967.718597,7
